kota,kecamatan,kelurahan,value,value_type
Kota Balikpapan,Balikpapan Barat,Baru Tengah,22590.0,count
Kota Balikpapan,Balikpapan Barat,Marga Sari,12317.0,count
Kota Balikpapan,Balikpapan Barat,Baru Ilir,18510.0,count
Kota Balikpapan,Balikpapan Barat,Margo Mulyo,14629.0,count
Kota Balikpapan,Balikpapan Barat,Baru Ulu,22420.0,count
Kota Balikpapan,Balikpapan Barat,Kariangau,7355.0,count
Kota Balikpapan,Balikpapan Utara,Muara Rapak,9509.0,density
Kota Balikpapan,Balikpapan Utara,Gunung Samarinda,9693.0,density
Kota Balikpapan,Balikpapan Utara,Batu Ampar,5005.0,density
Kota Balikpapan,Balikpapan Utara,Karang Joang,353.0,density
Kota Balikpapan,Balikpapan Utara,Gunung Samarinda Baru,3741.0,density
Kota Balikpapan,Balikpapan Utara,Graha Indah,2395.0,density
Kota Balikpapan,Balikpapan Kota,Prapatan,2311.53,density
Kota Balikpapan,Balikpapan Kota,Telaga sari,10212.5,density
Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,8367.5,density
Kota Balikpapan,Balikpapan Kota,Klandasan Ilir,11356.35,density
Kota Balikpapan,Balikpapan Kota,Damai,7329.74,density
